Room_Area,Room_Height,Room_Volume,Occupancy,Outdoor_Temperature,Window_Area,Equipment_Load,Insulation_Level,Sun_Exposure,AC_Capacity_Ton
25,4.1,102.5,2,42,4.6,0.3,4,2,1.0
95,3.4,323.0,12,27,9.7,1.9,2,2,3.0
22,3.7,81.4,2,27,4.4,0.3,2,2,1.0
49,3.5,171.5,4,40,6.5,0.6,2,3,2.0
49,3.3,161.7,3,34,7.1,0.3,4,2,1.5
47,3.0,141.0,6,26,5.7,0.7,1,3,1.5
19,3.9,74.1,1,41,2.1,0.1,4,3,1.0
55,2.9,159.5,4,38,8.8,0.6,4,2,1.5
42,3.7,155.4,4,37,7.5,0.7,4,3,1.5
21,3.6,75.6,2,36,2.7,0.2,1,1,1.0
87,3.3,287.1,6,28,16.4,0.9,3,2,2.5
86,3.0,258.0,5,38,15.2,0.9,4,3,2.5
26,3.9,101.4,2,33,2.7,0.2,2,3,1.0
48,3.4,163.2,4,40,7.6,0.6,1,3,2.0
47,3.8,178.6,3,35,6.4,0.5,1,1,1.5
62,2.8,173.6,5,31,11.1,1.0,4,1,2.0
37,2.9,107.3,2,33,4.3,0.3,4,2,1.0
76,3.0,228.0,7,35,11.5,0.7,4,2,2.5
51,3.0,153.0,3,34,8.2,0.4,1,2,1.5
58,3.1,179.8,6,29,11.4,1.0,4,1,2.0
100,3.8,380.0,6,36,18.2,0.8,3,1,3.5
49,2.9,142.1,3,40,6.8,0.5,1,2,1.5
79,2.9,229.1,6,39,8.4,0.6,3,2,2.5
61,2.8,170.8,7,26,11.0,1.1,3,2,2.0
92,3.8,349.6,6,28,13.0,0.6,4,1,3.0
17,3.6,61.2,1,36,1.8,0.2,3,3,1.0
15,3.3,49.5,1,40,2.4,0.1,4,2,1.0
19,3.7,70.3,1,30,2.8,0.2,4,2,1.0
28,3.6,100.8,2,25,3.8,0.2,4,3,1.0
41,2.8,114.8,2,43,4.9,0.3,1,1,1.5
23,4.0,92.0,2,40,3.3,0.3,2,3,1.0
93,3.3,306.9,10,39,18.3,1.5,5,3,3.5
29,3.4,98.6,2,39,5.6,0.3,3,1,1.0
56,3.9,218.4,7,40,8.4,0.8,1,2,2.5
91,3.1,282.1,10,31,17.9,1.1,3,3,3.0
65,2.8,182.0,5,45,11.4,0.5,1,1,2.0
77,4.1,315.7,5,36,14.0,0.7,5,1,2.5
66,3.5,231.0,7,44,8.5,1.0,1,3,2.5
18,3.3,59.4,2,38,3.0,0.4,4,2,1.0
37,3.9,144.3,2,31,4.2,0.3,1,1,1.5
29,2.8,81.2,3,37,4.1,0.4,5,1,1.0
57,3.1,176.7,3,28,10.2,0.6,2,3,2.0
43,3.0,129.0,3,36,7.9,0.4,2,2,1.5
50,3.8,190.0,4,26,6.5,0.4,1,1,1.5
27,3.2,86.4,3,28,3.9,0.5,2,2,1.0
46,3.9,179.4,5,27,8.1,0.9,5,3,1.5
85,2.9,246.5,7,43,12.5,1.2,1,3,3.0
73,3.7,270.1,8,33,13.8,0.9,1,2,2.5
100,3.2,320.0,11,40,16.5,1.3,4,3,3.5
42,3.1,130.2,2,36,6.0,0.3,2,1,1.5
80,3.9,312.0,9,33,10.2,1.2,5,2,3.0
56,3.4,190.4,5,39,9.7,0.7,5,3,2.0
59,3.6,212.4,4,44,9.4,0.5,3,1,2.0
76,2.8,212.8,7,43,10.1,0.7,1,1,2.5
71,3.9,276.9,5,41,10.9,0.9,1,2,2.5
20,3.2,64.0,2,26,3.4,0.2,2,2,1.0
42,3.8,159.6,3,45,4.2,0.4,5,3,1.5
42,3.9,163.8,3,37,4.5,0.4,1,1,1.5
58,3.0,174.0,5,40,10.2,0.8,3,3,2.0
98,3.2,313.6,7,33,14.3,0.8,3,2,3.0
44,3.8,167.2,5,38,5.0,0.6,3,2,1.5
76,3.1,235.6,5,41,9.6,1.0,3,2,2.5
89,4.0,356.0,6,36,16.3,0.9,4,3,3.0
76,3.2,243.2,9,37,9.4,1.5,5,1,2.5
15,3.4,51.0,1,44,2.8,0.2,5,2,1.0
41,2.9,118.9,3,40,6.1,0.5,1,2,1.5
76,3.0,228.0,7,40,13.1,1.1,4,1,2.5
91,3.2,291.2,9,45,18.1,1.5,2,3,3.5
17,2.9,49.3,1,37,3.3,0.2,3,1,1.0
84,3.1,260.4,7,30,11.5,1.0,1,3,2.5
86,3.4,292.4,7,36,11.0,0.8,5,2,2.5
41,3.3,135.3,2,35,6.4,0.3,3,1,1.5
23,3.1,71.3,2,36,4.1,0.3,4,1,1.0
76,2.9,220.4,5,26,12.5,0.9,2,3,2.5
51,3.2,163.2,4,40,10.2,0.6,4,1,1.5
65,3.8,247.0,6,39,7.5,0.9,2,2,2.5
58,3.5,203.0,5,30,6.3,0.5,2,2,2.0
38,4.1,155.8,5,34,4.8,0.8,4,2,1.5
93,3.0,279.0,8,40,12.2,1.6,1,2,3.0
73,3.1,226.3,4,38,10.4,0.7,2,3,2.5
46,3.2,147.2,3,43,7.5,0.6,2,3,2.0
66,2.8,184.8,5,30,12.8,0.7,2,3,2.0
76,4.1,311.6,5,26,14.6,0.5,2,2,2.5
72,3.4,244.8,8,35,8.7,1.3,5,3,2.5
66,3.5,231.0,4,27,11.7,0.6,4,2,2.0
26,3.0,78.0,2,36,3.9,0.3,4,1,1.0
53,4.0,212.0,4,25,10.3,0.5,1,3,2.0
16,3.8,60.8,1,32,2.4,0.2,1,1,1.0
17,3.4,57.8,2,25,2.5,0.4,3,3,1.0
70,4.0,280.0,5,34,12.6,1.0,5,3,2.5
95,4.1,389.5,7,33,12.8,1.2,5,2,3.0
73,2.9,211.7,7,33,14.2,1.3,4,1,2.5
16,3.0,48.0,1,43,1.7,0.2,1,1,1.0
16,2.8,44.8,1,31,2.6,0.2,4,1,1.0
68,3.6,244.8,6,34,10.2,0.7,3,1,2.0
15,3.1,46.5,1,32,1.9,0.2,5,1,1.0
33,4.0,132.0,3,42,3.4,0.5,5,1,1.0
16,3.5,56.0,2,34,2.4,0.3,1,3,1.0
67,4.0,268.0,4,41,12.7,0.5,1,1,2.5
58,3.6,208.8,5,31,8.9,0.9,4,1,2.0
46,3.9,179.4,3,38,7.3,0.3,2,1,1.5
84,3.3,277.2,6,27,9.0,1.0,2,2,2.5
46,4.1,188.6,3,40,8.0,0.4,5,3,1.5
82,3.7,303.4,7,25,14.8,0.7,1,1,2.5
69,3.6,248.4,4,32,8.4,0.6,2,1,2.0
89,3.3,293.7,5,25,13.6,0.9,1,2,2.5
70,4.1,287.0,6,31,10.1,1.1,4,1,2.5
31,3.3,102.3,2,35,5.2,0.3,5,1,1.0
52,4.0,208.0,5,32,9.5,0.9,4,2,2.0
38,3.4,129.2,3,29,4.3,0.4,3,3,1.5
83,3.9,323.7,6,44,12.6,0.7,3,1,3.0
84,4.1,344.4,5,44,13.6,0.5,3,3,3.0
100,3.5,350.0,9,38,10.1,1.4,5,3,3.5
25,3.5,87.5,2,37,4.5,0.3,2,1,1.0
30,3.3,99.0,3,41,4.3,0.5,3,1,1.0
87,2.9,252.3,10,30,13.3,1.2,4,2,2.5
73,3.7,270.1,7,37,7.7,1.0,3,2,2.5
84,3.0,252.0,5,31,10.2,0.5,5,2,2.5
94,3.3,310.2,5,36,12.2,0.6,2,3,3.0
17,3.3,56.1,2,38,2.6,0.3,3,3,1.0
34,3.0,102.0,4,45,4.4,0.7,5,3,1.5
73,3.7,270.1,6,27,11.2,1.1,3,3,2.5
50,3.0,150.0,4,30,6.8,0.5,5,1,1.5
33,3.9,128.7,2,37,3.7,0.3,3,3,1.5
81,3.1,251.1,10,44,15.3,1.2,1,2,3.0
33,3.2,105.6,2,28,5.8,0.2,5,3,1.0
34,3.3,112.2,3,38,5.5,0.6,4,1,1.0
85,3.0,255.0,8,33,13.1,1.5,5,2,2.5
66,3.4,224.4,7,38,7.9,1.0,1,2,2.5
47,2.9,136.3,6,43,8.4,0.8,4,3,2.0
54,3.4,183.6,5,29,9.4,0.8,2,3,2.0
53,3.3,174.9,3,26,6.3,0.5,4,2,1.5
96,3.3,316.8,6,42,15.2,1.1,3,3,3.0
15,3.7,55.5,1,41,1.6,0.1,5,3,1.0
25,3.9,97.5,3,45,3.3,0.3,5,3,1.0
71,3.3,234.3,5,32,12.9,0.9,1,1,2.5
64,3.2,204.8,4,30,8.5,0.6,4,1,2.0
37,3.5,129.5,3,43,5.0,0.3,4,1,1.5
45,3.9,175.5,5,40,8.5,0.9,3,1,2.0
56,3.7,207.2,6,28,7.3,0.7,1,3,2.0
21,2.9,60.9,2,39,2.4,0.3,2,3,1.0
30,3.5,105.0,3,39,5.8,0.6,4,3,1.5
74,4.2,310.8,4,40,11.2,0.5,3,3,2.5
16,3.3,52.8,1,30,2.6,0.2,5,3,1.0
15,3.4,51.0,2,42,1.8,0.2,1,3,1.0
62,3.2,198.4,7,43,9.9,1.4,1,2,2.5
26,3.5,91.0,2,40,3.3,0.3,3,2,1.0
83,3.0,249.0,7,40,9.8,1.3,5,2,2.5
51,3.1,158.1,5,43,5.3,0.8,5,3,2.0
46,3.8,174.8,3,32,6.3,0.5,1,2,1.5
23,3.0,69.0,2,31,4.0,0.3,1,3,1.0
33,4.1,135.3,3,34,6.2,0.4,2,3,1.5
62,3.2,198.4,4,45,10.9,0.5,1,2,2.0
94,3.6,338.4,7,41,14.9,0.9,4,1,3.0
17,3.3,56.1,2,43,3.1,0.3,5,2,1.0
34,3.5,119.0,2,33,5.3,0.3,2,1,1.0
38,4.1,155.8,3,43,6.6,0.4,3,2,1.5
68,2.9,197.2,5,38,7.9,0.6,2,3,2.0
47,4.0,188.0,4,28,8.5,0.8,3,2,1.5
38,3.6,136.8,2,33,5.8,0.4,5,1,1.0
89,3.7,329.3,7,26,13.6,1.0,1,3,3.0
86,2.9,249.4,5,40,15.6,0.7,2,1,2.5
50,3.9,195.0,4,31,8.4,0.7,4,3,2.0
52,3.0,156.0,5,43,5.6,1.0,4,1,1.5
98,4.2,411.6,9,31,11.5,1.7,5,2,3.5
39,3.9,152.1,4,28,6.0,0.7,4,3,1.5
32,3.5,112.0,3,44,4.6,0.4,5,1,1.0
96,4.1,393.6,10,42,11.4,1.2,2,3,3.5
80,3.0,240.0,6,33,12.8,1.0,4,3,2.5
68,4.2,285.6,8,42,10.9,1.4,3,2,3.0
49,3.8,186.2,4,37,7.1,0.7,3,1,1.5
94,2.9,272.6,8,44,15.1,0.9,2,3,3.0
75,3.6,270.0,5,36,14.3,0.8,3,3,2.5
55,3.8,209.0,3,39,6.4,0.4,4,1,2.0
47,3.7,173.9,3,31,6.9,0.6,4,3,1.5
82,3.4,278.8,9,31,14.1,1.7,4,3,3.0
47,3.1,145.7,3,32,8.0,0.3,2,3,1.5
28,3.1,86.8,2,31,4.3,0.3,2,3,1.0
35,4.1,143.5,3,40,6.2,0.5,3,2,1.5
62,3.1,192.2,4,42,11.9,0.6,3,3,2.0
34,4.1,139.4,2,32,6.8,0.3,4,1,1.0
22,3.1,68.2,1,40,2.2,0.1,2,2,1.0
21,3.3,69.3,1,29,2.8,0.2,5,1,1.0
81,2.8,226.8,5,27,9.5,0.8,1,2,2.5
31,4.1,127.1,2,44,3.8,0.3,3,1,1.0
47,2.9,136.3,3,40,6.9,0.5,1,3,1.5
62,3.3,204.6,5,36,11.4,0.6,5,2,2.0
90,4.0,360.0,11,42,10.7,1.6,3,1,3.5
73,3.9,284.7,9,40,10.9,1.1,1,3,3.0
100,4.0,400.0,6,31,18.2,1.1,3,1,3.5
36,4.1,147.6,3,27,5.6,0.4,2,2,1.5
44,4.1,180.4,4,32,5.1,0.5,3,1,1.5
52,3.9,202.8,4,43,5.7,0.5,3,1,2.0
65,3.6,234.0,7,28,13.0,1.0,3,3,2.5
68,3.6,244.8,5,37,12.1,1.0,2,3,2.5
22,2.8,61.6,1,37,4.0,0.2,1,1,1.0
41,3.8,155.8,3,40,6.9,0.4,3,3,1.5
41,3.1,127.1,3,37,7.3,0.3,1,1,1.5
35,4.0,140.0,4,27,5.6,0.4,3,1,1.0
44,3.6,158.4,3,33,7.9,0.6,4,2,1.5
42,4.2,176.4,3,35,8.2,0.6,1,1,1.5
78,3.1,241.8,6,28,12.0,0.8,4,2,2.5
83,3.8,315.4,8,40,12.6,1.5,2,3,3.0
75,3.6,270.0,4,37,12.5,0.6,2,1,2.5
62,4.1,254.2,5,35,12.1,0.5,3,3,2.5
33,3.2,105.6,2,34,4.5,0.3,2,1,1.0
18,2.9,52.2,2,44,2.5,0.4,2,3,1.0
49,3.6,176.4,3,39,8.3,0.6,3,2,2.0
78,3.5,273.0,6,35,11.2,0.7,4,3,2.5
63,3.2,201.6,7,30,9.6,0.8,4,2,2.0
31,4.2,130.2,2,25,5.8,0.3,3,2,1.0
58,2.9,168.2,5,38,9.4,0.7,4,3,2.0
44,3.6,158.4,3,30,8.2,0.5,1,3,1.5
60,3.2,192.0,4,38,9.9,0.8,5,3,2.0
20,2.8,56.0,2,30,3.1,0.3,3,1,1.0
51,4.2,214.2,5,42,7.1,0.5,3,1,2.0
38,3.5,133.0,4,36,5.6,0.8,2,1,1.5
60,4.0,240.0,4,31,8.2,0.7,2,3,2.0
67,4.0,268.0,5,35,8.9,1.0,3,1,2.5
74,3.9,288.6,7,35,9.4,1.4,2,3,3.0
77,3.4,261.8,8,26,12.2,1.1,1,1,2.5
99,4.1,405.9,9,31,12.8,1.6,3,3,3.5
46,3.3,151.8,5,26,7.6,0.8,4,1,1.5
47,3.4,159.8,4,40,9.0,0.5,1,1,1.5
81,3.2,259.2,7,25,11.2,0.7,4,2,2.5
32,3.4,108.8,3,26,5.3,0.3,2,3,1.0
39,4.2,163.8,4,28,7.3,0.7,1,2,1.5
68,3.6,244.8,8,35,9.2,1.4,1,1,2.5
72,4.0,288.0,5,28,10.1,1.0,3,2,2.5
81,3.2,259.2,5,26,16.0,0.7,1,2,2.5
60,4.1,246.0,4,37,6.9,0.7,1,2,2.0
38,2.8,106.4,2,26,4.2,0.4,1,3,1.0
46,4.1,188.6,5,44,5.5,0.6,3,1,2.0
61,4.1,250.1,7,38,7.3,1.2,1,2,2.5
100,2.9,290.0,6,30,19.3,0.9,2,3,3.0
37,3.6,133.2,3,29,4.5,0.4,1,1,1.0
80,3.9,312.0,5,32,8.5,0.7,2,1,2.5
41,3.4,139.4,3,26,6.7,0.5,4,2,1.5
16,2.9,46.4,2,25,2.3,0.4,5,3,1.0
31,4.0,124.0,2,31,4.2,0.2,2,2,1.0
47,3.5,164.5,3,29,6.6,0.6,1,3,1.5
23,3.2,73.6,2,28,3.9,0.2,1,1,1.0
57,2.9,165.3,6,29,8.7,0.9,3,2,2.0
62,3.7,229.4,4,44,8.0,0.7,1,1,2.0
53,2.9,153.7,4,25,9.4,0.7,5,3,1.5
56,3.9,218.4,4,32,11.0,0.7,2,1,2.0
40,3.9,156.0,3,36,6.4,0.4,3,3,1.5
64,3.3,211.2,5,29,6.9,0.9,1,1,2.0
39,3.5,136.5,3,32,5.4,0.5,4,3,1.5
38,3.7,140.6,3,36,5.4,0.4,4,1,1.5
27,4.1,110.7,2,35,2.9,0.2,4,3,1.0
74,3.5,259.0,7,44,11.2,1.2,5,1,2.5
21,4.2,88.2,1,31,2.3,0.1,4,2,1.0
71,3.3,234.3,4,28,7.6,0.5,5,3,2.0
50,3.5,175.0,3,30,6.8,0.4,5,1,1.5
59,3.0,177.0,5,30,6.8,0.9,4,3,2.0
34,3.6,122.4,3,29,3.9,0.3,1,2,1.0
79,3.6,284.4,4,36,10.6,0.6,4,3,2.5
22,4.0,88.0,1,33,2.8,0.2,2,3,1.0
30,4.2,126.0,2,28,4.9,0.3,5,1,1.0
28,4.2,117.6,2,42,3.7,0.3,4,1,1.0
90,3.1,279.0,8,43,14.2,1.3,3,2,3.0
29,3.3,95.7,3,30,4.6,0.4,4,1,1.0
80,3.2,256.0,9,30,10.8,1.0,5,2,2.5
46,3.1,142.6,3,37,8.1,0.5,4,2,1.5
77,3.0,231.0,8,36,8.9,1.5,5,3,2.5
100,3.5,350.0,9,44,16.3,1.5,1,2,3.5
65,4.0,260.0,4,30,7.8,0.6,5,1,2.0
39,3.6,140.4,4,29,5.7,0.6,4,3,1.5
72,4.0,288.0,7,44,12.0,0.8,1,3,3.0
77,4.1,315.7,5,35,15.1,0.7,1,3,3.0
76,3.3,250.8,6,25,9.1,0.6,3,1,2.0
36,4.0,144.0,3,28,5.3,0.4,2,3,1.5
72,2.9,208.8,8,26,12.1,1.2,2,2,2.5
72,3.5,252.0,7,29,8.7,1.0,2,1,2.5
100,3.3,330.0,9,30,11.6,1.6,1,3,3.5
63,3.1,195.3,4,30,11.0,0.7,4,2,2.0
66,3.4,224.4,8,32,12.5,1.6,3,1,2.5
56,3.4,190.4,3,25,10.6,0.5,3,1,1.5
84,3.9,327.6,9,33,11.1,1.4,5,3,3.0
29,4.0,116.0,2,44,5.4,0.2,1,1,1.5
68,3.7,251.6,7,38,12.1,1.0,5,3,2.5
74,3.7,273.8,7,26,12.6,0.9,3,2,2.5
22,3.0,66.0,1,34,2.7,0.2,2,1,1.0
67,3.6,241.2,6,25,7.2,1.0,5,3,2.0
74,3.2,236.8,5,26,11.8,1.0,3,1,2.0
19,3.2,60.8,1,45,3.4,0.1,4,1,1.0
82,2.9,237.8,6,44,9.7,0.6,2,1,2.5
20,3.7,74.0,1,45,2.1,0.1,4,1,1.0
61,3.6,219.6,6,32,9.9,0.9,3,1,2.0
69,3.1,213.9,4,42,9.8,0.7,1,3,2.5
54,3.2,172.8,3,37,9.0,0.3,1,1,1.5
66,3.9,257.4,4,33,12.5,0.7,4,3,2.5
30,3.9,117.0,2,39,3.6,0.2,2,2,1.0
27,3.5,94.5,2,31,4.5,0.2,2,3,1.0
44,3.0,132.0,5,26,5.7,0.8,5,1,1.5
33,2.9,95.7,3,45,4.7,0.4,1,2,1.5
31,3.2,99.2,3,40,5.4,0.5,5,3,1.0
77,3.8,292.6,9,44,8.2,1.6,4,1,3.0
33,3.6,118.8,2,41,4.0,0.2,3,2,1.0
72,3.8,273.6,6,36,7.7,1.1,4,3,2.5
69,3.5,241.5,7,36,13.1,1.2,5,2,2.5
76,3.9,296.4,6,33,11.7,1.1,3,1,2.5
37,3.5,129.5,3,42,6.9,0.4,5,3,1.5
23,2.9,66.7,2,30,3.6,0.3,3,3,1.0
26,2.9,75.4,2,40,5.0,0.2,4,3,1.0
15,4.0,60.0,2,40,1.8,0.3,2,2,1.0
72,3.7,266.4,7,43,10.8,1.1,5,3,2.5
15,3.2,48.0,1,27,2.7,0.1,2,1,1.0
48,3.9,187.2,4,26,5.9,0.5,2,1,1.5
62,3.0,186.0,4,30,7.5,0.7,2,2,2.0
15,3.7,55.5,1,38,2.9,0.2,5,2,1.0
30,4.2,126.0,2,30,5.0,0.4,1,3,1.5
75,3.0,225.0,8,30,9.6,1.4,5,2,2.5
78,3.0,234.0,9,40,12.6,1.2,2,3,3.0
77,3.5,269.5,6,44,14.8,1.1,5,3,3.0
83,3.7,307.1,5,30,10.6,0.5,3,1,2.5
36,2.8,100.8,2,40,5.6,0.3,4,3,1.0
81,3.5,283.5,5,45,10.7,0.8,2,1,2.5
90,2.9,261.0,7,29,11.7,1.1,4,2,2.5
40,3.1,124.0,3,33,7.1,0.5,2,2,1.5
30,3.8,114.0,3,36,4.0,0.4,4,3,1.0
65,3.8,247.0,4,35,9.5,0.5,5,1,2.0
100,3.8,380.0,9,30,13.9,1.6,3,1,3.5
71,2.9,205.9,4,40,13.0,0.5,5,3,2.0
43,3.9,167.7,3,25,4.4,0.4,4,3,1.5
92,3.4,312.8,10,39,13.5,1.6,1,2,3.5
83,3.5,290.5,7,40,10.9,1.1,2,1,3.0
61,3.4,207.4,4,35,10.3,0.4,4,1,2.0
76,4.0,304.0,7,31,14.0,1.0,4,3,3.0
83,3.8,315.4,8,40,12.3,1.5,3,1,3.0
90,3.5,315.0,11,33,9.3,1.7,3,2,3.0
30,4.0,120.0,2,41,4.2,0.3,3,2,1.0
62,3.9,241.8,5,41,10.7,0.9,3,1,2.5
99,2.8,277.2,10,36,12.6,1.4,4,1,3.0
53,3.5,185.5,4,33,7.1,0.7,4,3,2.0
47,2.9,136.3,5,28,9.2,1.0,3,3,1.5
37,3.2,118.4,2,33,4.5,0.4,4,3,1.0
24,3.9,93.6,2,39,3.6,0.4,4,1,1.0
83,4.1,340.3,8,40,11.2,1.4,3,2,3.0
48,3.1,148.8,3,29,5.0,0.5,5,3,1.5
66,2.8,184.8,5,38,8.4,0.6,2,3,2.0
24,3.4,81.6,3,35,3.5,0.3,4,2,1.0
33,3.3,108.9,2,29,5.8,0.2,2,1,1.0
72,3.7,266.4,6,41,12.9,1.0,4,1,2.5
15,3.5,52.5,1,42,2.7,0.1,3,2,1.0
83,3.4,282.2,7,35,14.7,1.3,4,1,2.5
18,3.1,55.8,2,42,1.8,0.3,5,1,1.0
30,4.0,120.0,2,25,3.9,0.3,4,2,1.0
38,3.1,117.8,3,26,3.9,0.3,5,1,1.0
94,2.9,272.6,5,35,16.6,0.8,1,1,3.0
16,3.6,57.6,1,26,3.2,0.2,4,3,1.0
46,3.2,147.2,4,37,7.5,0.4,1,1,1.5
98,3.8,372.4,12,30,13.9,1.5,2,1,3.5
38,2.9,110.2,3,31,6.7,0.5,5,3,1.0
26,4.2,109.2,2,28,4.7,0.4,4,2,1.0
64,3.1,198.4,4,27,11.3,0.6,3,2,2.0
49,3.3,161.7,4,31,7.9,0.6,2,3,1.5
47,3.5,164.5,5,36,6.2,0.7,4,1,1.5
47,4.0,188.0,3,37,5.0,0.5,3,2,1.5
75,3.8,285.0,6,25,14.1,1.2,3,3,2.5
65,3.0,195.0,4,33,12.1,0.5,5,2,2.0
57,3.4,193.8,4,30,9.0,0.6,3,1,2.0
26,3.6,93.6,3,45,4.1,0.4,3,3,1.5
81,3.8,307.8,7,35,15.6,1.1,3,1,3.0
